2024-02-29 12:34:39,961 - pocketoption - DEBUG - ======== New Session ========
2024-02-29 12:34:41,502 - pocketoption - DEBUG - Old session worked fine.
2024-02-29 12:34:41,518 - pocketoption - DEBUG - Payout Last Request ID: 150798
2024-02-29 13:02:33,593 - pocketoption - DEBUG - ======== New Session ========
2024-02-29 13:02:35,573 - pocketoption - DEBUG - Old session worked fine.
2024-02-29 13:02:35,583 - pocketoption - DEBUG - Payout Last Request ID: 150798
2024-02-29 13:03:23,877 - pocketoption - DEBUG - ======== New Session ========
2024-02-29 13:03:25,935 - pocketoption - DEBUG - Old session worked fine.
2024-02-29 13:03:26,045 - pocketoption - DEBUG - Payout Last Request ID: 150798
2024-02-29 13:04:45,812 - pocketoption - DEBUG - ======== New Session ========
2024-02-29 13:04:47,990 - pocketoption - DEBUG - Old session worked fine.
2024-02-29 13:04:48,005 - pocketoption - DEBUG - Payout Last Request ID: 150798
2024-02-29 13:59:01,837 - pocketoption - DEBUG - Old session worked fine.
2024-02-29 13:59:03,106 - pocketoption - DEBUG - Processed -> Statistics -> Current week
2024-02-29 13:59:03,106 - pocketoption - DEBUG - Total time taken to perform the task: 2.8 seconds
2024-02-29 14:00:00,999 - pocketoption - INFO - Target [ID:610323477]: success
2024-02-29 14:00:01,280 - pocketoption - INFO - Target [ID:1838317981]: success
2024-02-29 14:01:01,542 - pocketoption - DEBUG - First Check -> Latest ID: 150798 | Existing ID: 150798
2024-02-29 14:01:02,200 - pocketoption - DEBUG - Balance -> 1 -> Not enough for Withdrawal
2024-02-29 14:01:02,200 - pocketoption - DEBUG - Bonus -> 0 -> Not enough for Withdrawal
2024-02-29 14:01:03,030 - pocketoption - DEBUG - Second Check -> Latest ID: 150798 | Existing ID: 150798
2024-02-29 14:59:02,017 - pocketoption - DEBUG - Old session worked fine.
2024-02-29 14:59:03,348 - pocketoption - DEBUG - Processed -> Statistics -> Current week
2024-02-29 14:59:03,348 - pocketoption - DEBUG - Total time taken to perform the task: 2.77 seconds
2024-02-29 15:00:01,137 - pocketoption - INFO - Target [ID:610323477]: success
